VOLUME,MAX_SPHERE,EQ_SPHERE,MIN_AXIS,MAX_AXIS,SPHERICITY,ASPECT_RATIO,Extent
1.250000000e-01,0.000000000e+00,6.203504909e-01,5.000000000e-01,1.041648909e+00,0.000000000e+00,4.800081827e-01,1.000000000e+00
1.250000000e-01,2.560000000e+02,6.203504909e-01,5.000000000e-01,1.041648909e+00,4.126699402e+02,4.800081827e-01,1.000000000e+00
1.250000000e-01,2.560019531e+02,6.203504909e-01,5.000000000e-01,1.021051256e+00,4.126730886e+02,4.896913816e-01,1.000000000e+00
1.250000000e-01,2.560000000e+02,6.203504909e-01,5.000000000e-01,1.040108666e+00,4.126699402e+02,4.807190021e-01,1.000000000e+00
1.250000000e-01,0.000000000e+00,6.203504909e-01,5.000000000e-01,1.040108666e+00,0.000000000e+00,4.807190021e-01,1.000000000e+00
2.500000000e-01,2.560000000e+02,7.815926418e-01,5.000000000e-01,5.000000000e-01,3.275363486e+02,1.000000000e+00,5.000000000e-01
1.250000000e-01,1.000000000e+00,6.203504909e-01,5.000000000e-01,1.002002713e+00,1.611991954e+00,4.990006447e-01,1.000000000e+00
3.750000000e-01,2.560019531e+02,8.947002289e-01,5.000000000e-01,1.504005427e+00,2.861315386e+02,3.324456090e-01,7.500000000e-01
1.250000000e-01,1.000000000e+00,6.203504909e-01,5.000000000e-01,1.039477054e+00,1.611991954e+00,4.810110989e-01,1.000000000e+00
1.250000000e-01,1.000000000e+00,6.203504909e-01,5.000000000e-01,1.039477054e+00,1.611991954e+00,4.810110989e-01,1.000000000e+00
1.250000000e-01,2.560019531e+02,6.203504909e-01,5.000000000e-01,1.039477054e+00,4.126730886e+02,4.810110989e-01,1.000000000e+00
1.250000000e-01,0.000000000e+00,6.203504909e-01,5.000000000e-01,1.050098405e+00,0.000000000e+00,4.761458521e-01,1.000000000e+00
1.250000000e-01,2.560000000e+02,6.203504909e-01,5.000000000e-01,1.050098405e+00,4.126699402e+02,4.761458521e-01,1.000000000e+00
1.250000000e-01,0.000000000e+00,6.203504909e-01,5.000000000e-01,1.061652311e+00,0.000000000e+00,4.709639819e-01,1.000000000e+00
1.250000000e-01,1.000000000e+00,6.203504909e-01,5.000000000e-01,1.061652311e+00,1.611991954e+00,4.709639819e-01,1.000000000e+00
3.750000000e-01,2.560019531e+02,8.947002289e-01,5.000000000e-01,1.096275714e+00,2.861315386e+02,4.560896441e-01,5.000000000e-01
1.250000000e-01,0.000000000e+00,6.203504909e-01,5.000000000e-01,1.061652311e+00,0.000000000e+00,4.709639819e-01,1.000000000e+00
1.250000000e-01,2.560019531e+02,6.203504909e-01,5.000000000e-01,1.061652311e+00,4.126730886e+02,4.709639819e-01,1.000000000e+00
1.250000000e-01,2.560000000e+02,6.203504909e-01,5.000000000e-01,1.065101311e+00,4.126699402e+02,4.694389116e-01,1.000000000e+00
1.250000000e-01,2.560019531e+02,6.203504909e-01,5.000000000e-01,1.022864954e+00,4.126730886e+02,4.888230826e-01,1.000000000e+00
1.250000000e-01,1.000000000e+00,6.203504909e-01,5.000000000e-01,1.039246950e+00,1.611991954e+00,4.811176016e-01,1.000000000e+00
2.500000000e-01,0.000000000e+00,7.815926418e-01,5.000000000e-01,1.088489567e+00,0.000000000e+00,4.593521289e-01,1.000000000e+00
1.250000000e-01,0.000000000e+00,6.203504909e-01,5.000000000e-01,1.039246950e+00,0.000000000e+00,4.811176016e-01,1.000000000e+00
1.250000000e-01,0.000000000e+00,6.203504909e-01,5.000000000e-01,1.039246950e+00,0.000000000e+00,4.811176016e-01,1.000000000e+00
1.250000000e-01,0.000000000e+00,6.203504909e-01,5.000000000e-01,1.039246950e+00,0.000000000e+00,4.811176016e-01,1.000000000e+00
1.250000000e-01,2.560000000e+02,6.203504909e-01,5.000000000e-01,1.039246950e+00,4.126699402e+02,4.811176016e-01,1.000000000e+00
5.000000000e-01,2.560019531e+02,9.847450218e-01,5.000000000e-01,2.024753127e+00,2.599677556e+02,2.469436858e-01,6.666666667e-01
1.250000000e-01,0.000000000e+00,6.203504909e-01,5.000000000e-01,1.032035273e+00,0.000000000e+00,4.844795649e-01,1.000000000e+00
1.250000000e-01,0.000000000e+00,6.203504909e-01,5.000000000e-01,1.032035273e+00,0.000000000e+00,4.844795649e-01,1.000000000e+00
1.250000000e-01,0.000000000e+00,6.203504909e-01,5.000000000e-01,1.032035273e+00,0.000000000e+00,4.844795649e-01,1.000000000e+00
1.250000000e-01,0.000000000e+00,6.203504909e-01,5.000000000e-01,1.032035273e+00,0.000000000e+00,4.844795649e-01,1.000000000e+00
1.250000000e-01,2.560000000e+02,6.203504909e-01,5.000000000e-01,1.032035273e+00,4.126699402e+02,4.844795649e-01,1.000000000e+00
2.500000000e-01,2.560000000e+02,7.815926418e-01,5.000000000e-01,1.191319392e+00,3.275363486e+02,4.197027292e-01,1.000000000e+00
1.250000000e-01,1.000000000e+00,6.203504909e-01,5.000000000e-01,1.015770956e+00,1.611991954e+00,4.922369527e-01,1.000000000e+00
1.250000000e-01,1.000000000e+00,6.203504909e-01,5.000000000e-01,1.015770956e+00,1.611991954e+00,4.922369527e-01,1.000000000e+00
1.250000000e-01,2.560000000e+02,6.203504909e-01,5.000000000e-01,1.015770956e+00,4.126699402e+02,4.922369527e-01,1.000000000e+00
